attribute,Kromlek
Title,'The Ironclad'
Category,-
Edicts,Warfare; Valiant Combat; Loyalty
Portfolio,War; Tactics; Resolve; Altruism
Anathema,Flee from battle; Abandon an injured
Followers,Warriors; generals; footmen; defenders; dwarves; halflings; North Darrok
Pantheon,Dwarven; Halfling
Plane,Kelzadam
Divine Ability,Strength or Constitution
Divine Font,Heal
Divine Skill,Athletics
Favored Weapon,Battleaxe
Domains,Duty; Healing; Might; Protection; Zeal
Cleric Spells,1st: Fleet Step; 4th: Chromatic Armor; 9th: Magnetic Dominion
