attribute,Lastra
Title,'The Unstoppable Hunt'
Category,Aspects
Edicts,Cooperation on the Hunt; Heart of the pack; Strength in numbers
Portfolio,Community; Hunting; Solidarity; Tactics
Anathema,leaving the weakest behind; not contributing to a collective effort
Followers,Hunters; strategists; jarls; shamans; chiefs; tribes; skinwalkers; elves; Hurtsvigsen
Pantheon,tribal; Elven; Druidic
Plane,Evergrowing Forest
Divine Ability,Intelligence or Wisdom
Divine Font,Heal
Divine Skill,Survival
Favored Weapon,Glaive
Domains,Family; Nature; Protection; Swarm; Trickery
Cleric Spells,1st: Summon Animal; 2nd: Pack Attack; 3th: Nondetection
