Name	Fyrlean
Title	Fire Lord
Category	Primordial
Edicts	Renewal with fire, Primal destruction
Portfolio	Fire, Forges, Lava, Liberation
Anathema	Quenching a fire, Stop a riot
Followers	Renegades, smiths, acolytes, alchemists, firefolk, Flame Gulf, Demorado
Pantheon	Elemental, Dark Elf
Plane	Elemental Ring
Divine Ability	Dexterity, Charisma
Divine Font	Heal, Harm
Divine Skill	Crafting
Favored Weapon	Falchion
Domains	Confidence, Destruction, Dust, Fire, Freedom, Zeal
Cleric Spells	1st: Burning Hands, 3rd: Fireball, 9th: Meteor Swarm
