Name	Hansa
Title	"Librarian", "Questioning Mind"
Category	Human
Edicts	Search for Knowledge, Question Reality, Experiment
Portfolio	Books, Writing, Experiments, Discoveries, Memories
Anathema	Destruction of libraries, Break academic asylum
Followers	Bookworms, librarians, seekers, inventors, pilgrims, scientists, Vethians, Green Hills
Pantheon	Divinalis
Plane	Utopia
Divine Ability	Intelligence or Wisdom
Divine Font	Heal
Divine Skill	Arcana
Favored Weapon	Staff
Domains	Cities, Glyph, Knowledge, Magic, Protection
Cleric Spells	1st: Share Lore, 5th: Cloak of Colors, 7th: Magnificent Mansion
